Rayon;Libellé produit;Marque;Code Produit;Température;Conditionnement;Unité de commande;Prix;Prix à l'unité de mesure;Prix à la portion;DLC garantie au client
Charcuterie Traiteur;Gyoza poulet;AJINOMOTO;225766;Surgele;Sachet de 590 g. Colis de 10 sachets. ;colis; 65,57 EUR; 11,11 EUR / kg;  6,56 EUR / sachet;30 jour(s)
Charcuterie Traiteur;Gyoza végétarien;AJINOMOTO;225767;Surgele;Sachet de 590 g. Colis de 10 sachets. ;colis; 57,04 EUR;  9,67 EUR / kg;  5,70 EUR / sachet;30 jour(s)
Charcuterie Traiteur;Poulet curry et riz basmati;;225808;Surgele;Portion de 300 g. Colis de 6 portions. ;colis; 25,54 EUR; 14,19 EUR / kg;  4,26 EUR / portion;30 jour(s)
Charcuterie Traiteur;Porc au caramel riz;;225809;Surgele;Portion de 300 g. Colis de 6 portions. ;colis; 24,13 EUR; 13,41 EUR / kg;  4,02 EUR / portion;30 jour(s)
Accompagnements Assaisonnement;Haricots verts persillé;BONDUELLE FOOD SERVICE;226876;Surgele;Portion de 165 g. Colis de 20 portions. ;colis; 22,30 EUR;  6,76 EUR / kg;  1,11 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Légumes plancha;BONDUELLE FOOD SERVICE;226888;Surgele;Portion de 180 g. Colis de 24 portions. ;colis; 26,17 EUR;  6,06 EUR / kg;  1,09 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Penne cuit;SMILING COOK;226889;Surgele;Portion de 200 g. Colis de 25 portions. ;colis; 19,75 EUR;  3,95 EUR / kg;  0,79 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Riz cuit;SMILING COOK;226890;Surgele;Portion de 200 g. Colis de 25 portions. ;colis; 16,48 EUR;  3,30 EUR / kg;  0,66 EUR / Portion;30 jour(s)
Desserts Glaces;Fondant caramel pécan;;226896;Surgele;Portion de 80 g. Colis de 24 portions. ;colis; 33,67 EUR; 17,54 EUR / kg;  1,40 EUR / Portion;30 jour(s)
Équipement Hygiène;Pastille Javel. boite de 150. boite de 500gr;PRODIFA;227033;Ambiant;Boite de 150 portions. ;boite;  5,17 EUR;;  0,03 EUR / Portion;30 jour(s)
Équipement Hygiène;Bobine 18x27 450 feuilles. 2 plis blanc sans manderin;TORK;227410;Ambiant;Colis de 6 bobines. ;colis; 21,42 EUR;;  3,57 EUR / bobine;
Desserts Glaces;Fondant praliné noisette;;227452;Surgele;Portion de 80 g. Colis de 24 portions. ;colis; 39,80 EUR; 20,73 EUR / kg;  1,66 EUR / Portion;30 jour(s)
Poissons Coquillages Crustacés;Cabillaud. vdk (vidé décapité);;227726;Frais;Par pièce de 5 kg. ;pièce;124,56 EUR; 24,91 EUR / kg;;
Poissons Coquillages Crustacés;Filet cabillaud avec peau;;227730;Frais;Par pièce de 1.429 kg. ;pièce; 37,12 EUR; 25,97 EUR / kg;;
Viandes Volailles Gibier;Demi rôti longe veau;;227966;Frais;Par poche de 2 kg. ;poche; 50,95 EUR; 25,48 EUR / kg;;7 jour(s)
Fruits et Légumes;Epinard jeune pousse;ROSEE DES CHAMPS;228318;Frais;Par sachet de 250 g. Colis de 8 sachets. ;sachet;  2,48 EUR;  9,92 EUR / kg; 19,83 EUR / colis;4 jour(s)
Viandes Volailles Gibier;Steak haché rond 20% m.g.. façon bouchère vbf;BEAUVALLET RESTAURATION;228406;Frais;Portion de 100 g. Colis de 16 portions. ;colis; 20,53 EUR; 12,83 EUR / kg;  1,28 EUR / Portion;4 jour(s)
Crèmerie Œufs Fromages;Oeufs brouillés plein air;SERVIS OEUF;228408;Frais;Poche de 1 kg. Colis de 4 poches. ;colis; 32,18 EUR;  8,04 EUR / kg;  8,04 EUR / poche;7 jour(s)
Viandes Volailles Gibier;Aile de poulet;LE GAULOIS PROF;228442;Frais;Poche de 2.5 kg. Colis de 2 poches. ;colis; 19,88 EUR;  3,98 EUR / kg;  9,94 EUR / poche;7 jour(s)
Poissons Coquillages Crustacés;Filet de perche du nil. décongelé;;228622;Frais;Par colis de 3 kg. ;colis; 41,54 EUR; 13,85 EUR / kg;;2 jour(s)
Fruits et Légumes;Lentilles vertes bio;LUNOR;228862;Ambiant;Par sachet de 2 kg. Colis de 5 sachets. ;sachet;  8,91 EUR;  4,46 EUR / kg; 44,57 EUR / colis;7 jour(s)
Boissons;Eau minérale evian;EVIAN;228929;Ambiant;Bouteille de 500 ml. Colis de 24 bouteilles. ;colis; 17,23 EUR;  1,44 EUR / L;  0,72 EUR / bouteille;30 jour(s)
Boissons;Eau minérale evian;EVIAN;228932;Ambiant;Bouteille de 330 ml. Colis de 24 bouteilles. ;colis; 16,68 EUR;  2,11 EUR / L;  0,70 EUR / bouteille;30 jour(s)
Crèmerie Œufs Fromages;Lait entier stérilisé uht;LAIT D'ICI;229525;Frais;Brick de 1 litre. Colis de 6 bricks. ;colis;  6,50 EUR;  1,08 EUR / L;  1,08 EUR / brick;7 jour(s)
Fruits et Légumes;Tomate cerise grappe. catégorie 1;STKFL;229964;Frais;Par colis de 3 kg. ;colis; 18,53 EUR;  6,18 EUR / kg;;
Épicerie;Pate à tartiner à la cacahuete;ANDROS;230693;Ambiant;Par pot de 325 g. Colis de 6 pots. ;pot;  2,79 EUR;  8,58 EUR / kg; 16,73 EUR / colis;30 jour(s)
Poissons Coquillages Crustacés;Filet d'eglefin. sans peau - avec arretes;;230777;Frais;Par colis de 3 kg. ;colis; 29,36 EUR;  9,79 EUR / kg;;
Pains Viennoiserie Pâtes;Petit pain long;;230834;Surgele;Portion de 60 g. Colis de 150 portions. ;colis; 20,08 EUR;  2,23 EUR / kg;  0,13 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Mayonnaise;HEINZ;231810;Ambiant;Portion de 9.3 g. Boite de 200 portions. ;boite; 29,24 EUR; 15,72 EUR / kg;  0,15 EUR / Portion;30 jour(s)
