Rayon;Libellé produit;Marque;Code Produit;Température;Conditionnement;Unité de commande;Prix;Prix à l'unité de mesure;Prix à la portion;DLC garantie au client
Accompagnements Assaisonnement;Tagliatelle aux oeufs. Emiliane chef;BARILLA;000190;Ambiant;Sac de 1 kg. Colis de 6 sacs. ;colis; 52,87 EUR;  8,81 EUR / kg;  8,81 EUR / sac;30 jour(s)
Fruits et Légumes;Poire guyot. calibre 60/65. catégorie 1;STKFL;000502;Frais;Par barquette de 1 kg. ;barquette;  2,37 EUR;  2,37 EUR / kg;;
Fruits et Légumes;Tomate ronde 67/82. catégorie 1;STKFL;000512;Frais;Par colis de 6 kg. ;colis; 12,13 EUR;  2,02 EUR / kg;;
Fruits et Légumes;Pommes Golden 135/170. catégorie 1. France;STKFL;000658;Frais;Portion de 160.494 g. Colis de 81 portions. ;colis; 21,79 EUR;  1,68 EUR / kg;  0,27 EUR / Portion;
Fruits et Légumes;Oignon rouge. calibre 60/80. catégorie 1 - origine France;STKFL;000775;Frais;Par filet de 5 kg. ;filet;  5,96 EUR;  1,19 EUR / kg;;
Fruits et Légumes;Chou rouge. catégorie 1;STKFL;000964;Frais;Par pièce de 1.5 kg. Colis de 6 pièces. ;pièce;  1,86 EUR;  1,24 EUR / kg; 11,14 EUR / colis;
Épicerie;Country store muesli;KELLOGG'S;001800;Ambiant;Par sachet de 2 kg. Colis de 4 sachets. ;sachet; 18,26 EUR;  9,13 EUR / kg; 73,05 EUR / colis;30 jour(s)
Charcuterie Traiteur;Jambon de paris spécial. sandwich vpf;MADRANGE;006148;Frais;Portion de 50 g. Barquette de 10 portions. ;barquette;  5,95 EUR; 11,90 EUR / kg;  0,60 EUR / Portion;7 jour(s)
Fruits et Légumes;Mélange jeune pousse. catégorie 1. France;STKFL;008691;Frais;Par barquette de 1 kg. ;barquette;  5,49 EUR;  5,49 EUR / kg;;3 jour(s)
Fruits et Légumes;Mure. catégorie 1. barquette 125g;STKFL;008720;Frais;Par barquette de 125 g. ;barquette;  3,34 EUR; 26,68 EUR / kg;;4 jour(s)
Fruits et Légumes;Salade sucrine 6 têtes. catégorie 1;STKFL;008814;Frais;Par barquette de 360 g. ;barquette;  2,39 EUR;  6,63 EUR / kg;;
Fruits et Légumes;Poire conference 60/65. catégorie 1;STKFL;008905;Frais;Par colis de 7 kg. ;colis; 14,35 EUR;  2,05 EUR / kg;;
Fruits et Légumes;Pois gourmand. catégorie 1;STKFL;008910;Frais;Par barquette de 250 g. ;barquette;  2,28 EUR;  9,13 EUR / kg;;3 jour(s)
Fruits et Légumes;Poivron vert catégorie 1;STKFL;008941;Frais;Par filet de 1 kg. ;filet;  3,27 EUR;  3,27 EUR / kg;;4 jour(s)
Fruits et Légumes;Aubergine 3/4. catégorie 1;STKFL;008942;Frais;Par filet de 1 kg. ;filet;  3,59 EUR;  3,59 EUR / kg;;
Fruits et Légumes;Mâche. catégorie 1. France;STKFL;008965;Frais;Par colis de 1 kg. ;colis;  5,62 EUR;  5,62 EUR / kg;;3 jour(s)
Fruits et Légumes;Radis rose. catégorie 1. France;STKFL;008966;Frais;Pièce de 300 g. Colis de 12 pièces. ;colis; 11,10 EUR;  3,08 EUR / kg;  0,93 EUR / pièce;
Fruits et Légumes;Kiwi Cal33. catégorie 1;STKFL;008988;Frais;Pièce de 90 g. Colis de 33 pièces. ;colis; 17,59 EUR;  5,92 EUR / kg;  0,53 EUR / pièce;
Fruits et Légumes;Tomate ronde 82/102. catégorie 1;STKFL;008997;Frais;Par colis de 7 kg. ;colis; 14,64 EUR;  2,09 EUR / kg;;4 jour(s)
Fruits et Légumes;Courgette calibre 14/21. France;STKFL;009020;Frais;Par colis de 5 kg. ;colis; 10,81 EUR;  2,16 EUR / kg;;
Fruits et Légumes;Physalis colombie;STKFL;009030;Frais;Barquette de 100 g. Colis de 12 barquettes. ;colis; 16,93 EUR; 14,11 EUR / kg;  1,41 EUR / barquette;3 jour(s)
Fruits et Légumes;Aubergine 300/400 g. catégorie 1;STKFL;009038;Frais;Par colis de 5 kg. ;colis; 14,96 EUR;  2,99 EUR / kg;;
Fruits et Légumes;Fruit de la passion. catégorie 1;AFL;009051;Frais;Par colis de 2 kg. ;colis; 24,07 EUR; 12,04 EUR / kg;;
Fruits et Légumes;Oignon blanc D60/80. catégorie 2;AFL;009057;Frais;Par colis de 10 kg. ;colis; 23,27 EUR;  2,33 EUR / kg;;4 jour(s)
Fruits et Légumes;Radis rouge. catégorie 1. sachet de 1kg;STKFL;009071;Frais;Par sachet de 1 kg. ;sachet;  3,27 EUR;  3,27 EUR / kg;;
Accompagnements Assaisonnement;Maizena fleur de mais;MAIZENA;011692;Ambiant;Par boite de 700 g. Colis de 12 boites. ;boite;  5,45 EUR;  7,78 EUR / kg; 65,35 EUR / colis;30 jour(s)
Accompagnements Assaisonnement;Riz long grain et sauvage;BEN'S ORIGINAL;016881;Ambiant;Par sac de 5 kg. Colis de 3 sacs. ;sac; 38,83 EUR;  7,77 EUR / kg;116,48 EUR / colis;30 jour(s)
Épicerie;Miel mille fleurs liquide;EUROMIEL;021030;Ambiant;Par pot de 1 kg. Colis de 6 pots. ;pot;  7,42 EUR;  7,42 EUR / kg; 44,54 EUR / colis;30 jour(s)
Accompagnements Assaisonnement;Couscous moyen;LA GAZELLE;021824;Ambiant;Par sac de 5 kg. ;sac;  9,70 EUR;  1,94 EUR / kg;;30 jour(s)
Accompagnements Assaisonnement;Riz long étuvé;BEN'S ORIGINAL;023424;Ambiant;Par sac de 5 kg. Colis de 3 sacs. ;sac; 27,12 EUR;  5,42 EUR / kg; 81,36 EUR / colis;30 jour(s)
Boissons;Vittel;VITTEL;026286;Ambiant;Bouteille de 1.5 litre. Colis de 12 bouteilles. ;colis; 13,38 EUR;  0,74 EUR / L;  1,12 EUR / bouteille;30 jour(s)
Pâtisserie Biscuiterie Confiserie;Crepe dentelle x 2;GAVOTTES;027615;Ambiant;Portion de 10.417 g. Boite de 120 portions. ;boite; 28,54 EUR; 22,83 EUR / kg;  0,24 EUR / Portion;30 jour(s)
Desserts Glaces;Mini tartelette sucrée pur. beurre;JEAN DUCOURTIEUX;032094;Ambiant;Portion de 5.6 g. Colis de 240 portions. ;colis; 42,66 EUR; 31,74 EUR / kg;  0,18 EUR / Portion;30 jour(s)
Épicerie;Café Baccara. 1 filtre dose pour 1 carafe. ou 1 verseuse isotherme;MIKO;033146;Ambiant;Portion de 75 g. Colis de 36 portions. ;colis; 59,85 EUR; 22,17 EUR / kg;  1,66 EUR / Portion;30 jour(s)
Charcuterie Traiteur;Jambon supérieur tranché dd. cuit au torchon vpf;MADRANGE;034280;Frais;Portion de 50 g. Sachet de 10 portions. ;sachet;  6,55 EUR; 13,09 EUR / kg;  0,65 EUR / Portion;7 jour(s)
Fruits et Légumes;Avocat hass guacamole 22. catégorie 1;STKFL;045857;Frais;Pièce de 171 g. Colis de 22 pièces. ;colis; 18,90 EUR;  5,02 EUR / kg;  0,86 EUR / pièce;
Crèmerie Œufs Fromages;Mozzarella Santa Lucia. 22% m.g.;GALBANI PRO;047001;Frais;Par pain de 1 kg. Colis de 4 pains. ;pain; 15,71 EUR; 15,71 EUR / kg; 62,83 EUR / colis;7 jour(s)
Crèmerie Œufs Fromages;Beurre coupelle doux aop. coupelle + recharges;ISIGNY;048174;Frais;Pièce de 25 g. Colis de 48 pièces. ;colis; 17,81 EUR; 14,84 EUR / kg;  0,37 EUR / pièce;7 jour(s)
Crèmerie Œufs Fromages;Crème fraiche épaisse légère. 15 % mg;PRESIDENT PRO;050534;Frais;Par seau de 5 litre. ;seau; 23,88 EUR;  4,78 EUR / L;;7 jour(s)
Crèmerie Œufs Fromages;Beurre doux micro pain;PRESIDENT;055095;Frais;Portion de 15 g. Boite de 100 portions. ;boite; 21,27 EUR; 14,18 EUR / kg;  0,21 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Crème anglaise uht;DEBIC;055954;Frais;Par bouteille de 2 litre. Colis de 6 bouteilles. ;bouteille;  5,93 EUR;  2,97 EUR / L; 35,58 EUR / colis;7 jour(s)
Crèmerie Œufs Fromages;Emmental 29 % m.g.;ENTREMONT;056374;Frais;Portion de 16.667 g. Coffret de 30 portions. ;coffret; 10,23 EUR; 20,45 EUR / kg;  0,34 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Camembert 20 % m.g.;PRESIDENT;057653;Frais;Portion de 30 g. Boite de 8 portions. ;boite;  2,84 EUR; 11,83 EUR / kg;  0,35 EUR / Portion;7 jour(s)
Épicerie;Chocolat en poudre 32 % cacao;MONBANA;057992;Ambiant;Portion de 15 g. Colis de 100 portions. ;colis; 13,67 EUR;  9,11 EUR / kg;  0,14 EUR / Portion;30 jour(s)
Crèmerie Œufs Fromages;Beurre doux;PRESIDENT PROFESSIONNEL;059493;Frais;Par rouleau de 1 kg. Colis de 10 rouleaux. ;rouleau; 10,41 EUR; 10,41 EUR / kg;104,14 EUR / colis;7 jour(s)
Crèmerie Œufs Fromages;Tartare ail et fines herbes. 70 % m.g.;TARTARE;059766;Frais;Portion de 16 g. Coffret de 32 portions. ;coffret;  8,54 EUR; 16,69 EUR / kg;  0,27 EUR / Portion;7 jour(s)
Épicerie;Nescafé sélection;NESCAFE;059808;Ambiant;Portion de 2 g. Colis de 300 portions. ;colis; 61,88 EUR;103,13 EUR / kg;  0,21 EUR / Portion;30 jour(s)
Épicerie;Nescafé sélection décaféiné;NESCAFE;059840;Ambiant;Portion de 2 g. Colis de 300 portions. ;colis; 64,91 EUR;108,19 EUR / kg;  0,22 EUR / Portion;30 jour(s)
Épicerie;Mélange d'olives pour. apéritif avec noyau;BARNIER;063115;Frais;Par seau de 5 kg. ;seau; 35,04 EUR;  7,01 EUR / kg;;7 jour(s)
Pâtisserie Biscuiterie Confiserie;Galette pur beurre x 2;ST MICHEL;069559;Ambiant;Portion de 13 g. Colis de 200 portions. ;colis; 28,11 EUR; 10,81 EUR / kg;  0,14 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Mise en place Pesto. basilic et ail;KNORR;070763;Ambiant;Par pot de 340 g. Colis de 2 pots. ;pot; 15,27 EUR; 44,91 EUR / kg; 30,54 EUR / colis;30 jour(s)
Desserts Glaces;Cuillers pâtissière Le 1900. 4 barquettes de 32 cuillers;DELOS;076208;Ambiant;Portion de 12.5 g. Colis de 128 portions. ;colis; 17,68 EUR; 11,05 EUR / kg;  0,14 EUR / Portion;30 jour(s)
Épicerie;Nescafé spécial filtre;NESCAFE;078832;Ambiant;Etui de 50 g. Colis de 12 etuis. Etui de 25 portions. ;colis; 78,35 EUR;130,58 EUR / kg;  6,53 EUR / etui;30 jour(s)
Desserts Glaces;Compote de pommes. allégée en sucres. hve;ST MAMET;081836;Ambiant;Portion de 100 g. Colis de 120 portions. ;colis; 29,58 EUR;  2,47 EUR / kg;  0,25 EUR / Portion;30 jour(s)
Crèmerie Œufs Fromages;Port salut sous cave tranché. 27 % m.g.;BEL;083774;Frais;Portion de 30 g. Colis de 80 portions. ;colis; 44,06 EUR; 18,36 EUR / kg;  0,55 EUR / Portion;7 jour(s)
Accompagnements Assaisonnement;Spaghetti. qualité supérieure;BARILLA;085316;Ambiant;Par sac de 5 kg. Colis de 3 sacs. ;sac; 15,82 EUR;  3,16 EUR / kg; 47,45 EUR / colis;30 jour(s)
Épicerie;Nestlé cacao mix milky;NESTLE;095026;Ambiant;Par poche de 1 kg. Colis de 10 poches. ;poche;  8,94 EUR;  8,94 EUR / kg; 89,41 EUR / colis;30 jour(s)
Accompagnements Assaisonnement;Penne rigate. qualité supérieure;BARILLA;098699;Ambiant;Par sac de 5 kg. Colis de 3 sacs. ;sac; 14,88 EUR;  2,98 EUR / kg; 44,63 EUR / colis;30 jour(s)
Épicerie;Nesquik;NESQUIK;099432;Ambiant;Par boite de 1 kg. Colis de 12 boites. ;boite; 12,42 EUR; 12,42 EUR / kg;148,98 EUR / colis;30 jour(s)
Épicerie;Abricots préservés;LA PULPE;100466;Ambiant;Par boite 4/4 de 765 g. Colis de 12 boites 4/4. ;boite 4/4;  2,28 EUR;  2,98 EUR / kg; 27,35 EUR / colis;30 jour(s)
Épicerie;Cocktail fruits préservés;ST MAMET;100606;Ambiant;Par boite 4/4 de 850 g. Colis de 12 boites 4/4. ;boite 4/4;  4,16 EUR;  4,89 EUR / kg; 49,90 EUR / colis;30 jour(s)
Charcuterie Traiteur;Jambon supérieur dd cuit. au torchon vpf;MADRANGE;100623;Frais;Portion de 45 g. Barquette de 16 portions. ;barquette;  9,13 EUR; 12,69 EUR / kg;  0,57 EUR / Portion;7 jour(s)
Boissons;Jus de pomme douce;TROPICANA;100801;Ambiant;Par bag in box de 3 litre. Colis de 3 bags in box. ;bag in box; 12,65 EUR;  4,22 EUR / L; 37,94 EUR / colis;30 jour(s)
Épicerie;Miel mille fleurs crémeux;EUROMIEL;100922;Ambiant;Par pot de 1 kg. Colis de 6 pots. ;pot;  7,39 EUR;  7,39 EUR / kg; 44,36 EUR / colis;30 jour(s)
Accompagnements Assaisonnement;Sauce anglaise worcester;HEINZ;100949;Ambiant;Par flacon de 150 ml. Colis de 12 flacons. ;flacon;  2,66 EUR; 17,75 EUR / L; 31,96 EUR / colis;30 jour(s)
Boissons;Cocktail multifruit;PLEIN FRUIT;100975;Ambiant;Brick de 1 litre. Colis de 6 bricks. ;colis;  9,61 EUR;  1,60 EUR / L;  1,60 EUR / brick;30 jour(s)
Boissons;Jus orange pressée;ANDROS;101288;Frais;Bouteille de 1 litre. Colis de 6 bouteilles. ;colis; 21,74 EUR;  3,62 EUR / L;  3,62 EUR / bouteille;7 jour(s)
Boissons;Jus pamplemousse rose;ANDROS;101293;Frais;Bouteille de 1 litre. Colis de 6 bouteilles. ;colis; 25,40 EUR;  4,23 EUR / L;  4,23 EUR / bouteille;7 jour(s)
Boissons;Jus pomme pressee. bouteille de 1 l;ANDROS;101300;Frais;Bouteille de 1 litre. Colis de 6 bouteilles. ;colis; 23,67 EUR;  3,95 EUR / L;  3,95 EUR / bouteille;7 jour(s)
Viandes Volailles Gibier;Gigot d'agneau désossé. frais ou decongele;BEAUVALLET NEGOCE;101398;Frais;Par pièce de 2 kg. ;pièce; 35,98 EUR; 17,99 EUR / kg;;7 jour(s)
Viandes Volailles Gibier;Tartare aux couteaux charolais. pur boeuf vbf 3 % m.g.;BEAUVALLET RESTAURATION;101399;Frais;Portion de 180 g. Colis de 16 portions. ;colis; 57,47 EUR; 19,95 EUR / kg;  3,59 EUR / Portion;5 jour(s)
Accompagnements Assaisonnement;Sauce tomate oignon bio. boite 3/1;D'AUCY;101452;Ambiant;Par boite 3/1 de 2.5 kg. Colis de 3 boites 3/1. ;boite 3/1; 15,68 EUR;  6,27 EUR / kg; 47,05 EUR / colis;30 jour(s)
Viandes Volailles Gibier;Sauté de canard sans os, sans. peau;LE GAULOIS PROF;101475;Frais;Poche de 2.5 kg. Colis de 2 poches. ;colis; 83,73 EUR; 16,75 EUR / kg; 41,87 EUR / poche;7 jour(s)
Viandes Volailles Gibier;Faux filet semi-paré vbf;BEAUVALLET NEGOCE;101479;Frais;Par pièce de 6 kg. ;pièce;126,92 EUR; 21,15 EUR / kg;;7 jour(s)
Viandes Volailles Gibier;Filet de boeuf semi-paré vbf;BEAUVALLET NEGOCE;101480;Frais;Par pièce de 3 kg. ;pièce; 86,11 EUR; 28,70 EUR / kg;;7 jour(s)
Poissons Coquillages Crustacés;Saumon;;101481;Frais;Par pièce de 3.5 kg. ;pièce; 39,33 EUR; 11,24 EUR / kg;;2 jour(s)
Poissons Coquillages Crustacés;Préparation de noix St Jacques. sans corail calibre 10/20. decongelée avec eau ajoutée;;101484;Frais;Par barquette de 1 kg. ;barquette; 50,32 EUR; 50,32 EUR / kg;;2 jour(s)
Pains Viennoiserie Pâtes;Pain de mie complet. dimension 10 x 10 cm. 24 tranches;HARRYS FOOD SERVICE;101655;Ambiant;Paquet de 500 g. Colis de 8 paquets. ;colis; 15,41 EUR;  3,85 EUR / kg;  1,93 EUR / paquet;7 jour(s)
Crèmerie Œufs Fromages;Oeufs pochés. calibre 43/53g;OVOTEAM;101718;Frais;Portion de 48.75 g. Seau de 24 portions. ;seau; 16,13 EUR; 13,79 EUR / kg;  0,67 EUR / Portion;7 jour(s)
Pains Viennoiserie Pâtes;Pain pochon lalos;BRIDOR;101744;Surgele;Portion de 450 g. Colis de 16 portions. ;colis; 30,04 EUR;  4,17 EUR / kg;  1,88 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Roux Blanc Instantané. Déshydraté 1kg;KNORR;101758;Ambiant;Par boite de 1 kg. Colis de 6 boites. ;boite; 12,06 EUR; 12,06 EUR / kg; 72,36 EUR / colis;30 jour(s)
Épicerie;Sirop d'érable;MAPLE JOE;101876;Ambiant;Par bidon de 500 ml. Colis de 6 bidons. ;bidon; 10,66 EUR; 21,32 EUR / L; 63,95 EUR / colis;30 jour(s)
Accompagnements Assaisonnement;Riz étuvé indica qualité. supérieure;VIVIEN PAILLE;101994;Ambiant;Par sac de 5 kg. ;sac; 10,95 EUR;  2,19 EUR / kg;;30 jour(s)
Pâtisserie Biscuiterie Confiserie;M&M's peanut;M&M'S;102150;Ambiant;Portion de 45 g. Colis de 36 portions. ;colis; 36,19 EUR; 22,34 EUR / kg;  1,01 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Riz arborio qualité supérieure;VIVIEN PAILLE;102201;Ambiant;Par sachet de 1 kg. Colis de 6 sachets. ;sachet;  3,14 EUR;  3,14 EUR / kg; 18,85 EUR / colis;30 jour(s)
Pâtisserie Biscuiterie Confiserie;Twix;TWIX;102238;Ambiant;Portion de 50 g. Boite de 32 portions. ;boite; 29,07 EUR; 18,17 EUR / kg;  0,91 EUR / Portion;30 jour(s)
Boissons;San Pellegrino vrac;SAN PELLEGRINO;102337;Ambiant;Portion de 500 ml. Colis de 24 portions. ;colis; 20,07 EUR;  1,67 EUR / L;  0,84 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Sauce salade et sandwich. Caesar 1L;AMORA;102691;Ambiant;Par flacon de 1 litre. Colis de 6 flacons. ;flacon;  8,72 EUR;  8,72 EUR / L; 52,30 EUR / colis;30 jour(s)
Charcuterie Traiteur;Thon albacore nature;SAUPIQUET - FURIC;103150;Ambiant;Par poche de 650 g. Colis de 12 poches. ;poche; 10,00 EUR; 15,38 EUR / kg;119,98 EUR / colis;30 jour(s)
Charcuterie Traiteur;Salami Danois pur porc;BERNI;103960;Frais;Par pièce de 2.8 kg. ;pièce; 21,91 EUR;  7,83 EUR / kg;;7 jour(s)
Crèmerie Œufs Fromages;Cantafrais nature. 23 % m.g.;BEL;104059;Frais;Portion de 16.667 g. Coffret de 54 portions. ;coffret; 13,07 EUR; 14,52 EUR / kg;  0,24 EUR / Portion;7 jour(s)
Boissons;Jus d'orange abc avec pulpe;PLEIN FRUIT;104703;Ambiant;Brick de 1 litre. Colis de 6 bricks. ;colis; 15,44 EUR;  2,57 EUR / L;  2,57 EUR / brick;30 jour(s)
Boissons;Jus de pomme france abc;PLEIN FRUIT;104711;Ambiant;Brick de 1 litre. Colis de 6 bricks. ;colis;  8,81 EUR;  1,47 EUR / L;  1,47 EUR / brick;30 jour(s)
Boissons;Jus d'ananas;PLEIN FRUIT;104737;Ambiant;Brick de 1 litre. Colis de 6 bricks. ;colis; 14,00 EUR;  2,33 EUR / L;  2,33 EUR / brick;30 jour(s)
Boissons;Jus de pamplemousse;PLEIN FRUIT;104745;Ambiant;Brick de 1 litre. Colis de 6 bricks. ;colis; 11,95 EUR;  1,99 EUR / L;  1,99 EUR / brick;30 jour(s)
Accompagnements Assaisonnement;ketchup;HEINZ;109066;Ambiant;Par flacon de 570 g. Colis de 12 flacons. ;flacon;  3,43 EUR;  6,01 EUR / kg; 41,12 EUR / colis;30 jour(s)
Crèmerie Œufs Fromages;Préparation liquide pour crème. brulée aux oeufs et à la. vanille bourbon;PRESIDENT PRO;110189;Frais;Par brick de 1 litre. Colis de 6 bricks. ;brick;  6,45 EUR;  6,45 EUR / L; 38,68 EUR / colis;7 jour(s)
Pâtisserie Biscuiterie Confiserie;Madeleine aux oeufs. cloche d'argent;LE STER;111252;Ambiant;Portion de 25 g. Colis de 120 portions. ;colis; 19,16 EUR;  6,39 EUR / kg;  0,16 EUR / Portion;7 jour(s)
Desserts Glaces;Compote pomme allégée;VALADE;111855;Ambiant;Par boite 4/4 de 850 g. Colis de 12 boites 4/4. ;boite 4/4;  2,76 EUR;  3,25 EUR / kg; 33,12 EUR / colis;30 jour(s)
Épicerie;Confiture de framboise extra;VALADE EN CORREZE;112664;Ambiant;Par bocal de 1 kg. Colis de 6 bocaux. ;bocal; 10,10 EUR; 10,10 EUR / kg; 60,58 EUR / colis;30 jour(s)
Charcuterie Traiteur;Feuilles de brick. avec intercalaires;JR;113092;Frais;Portion de 17 g. Paquet de 10 portions. ;paquet;  1,10 EUR;  6,44 EUR / kg;  0,11 EUR / Portion;7 jour(s)
Épicerie;Sirop d'érable;MAPLE JOE;113613;Ambiant;Par bouteille de 250 ml. Colis de 12 bouteilles. ;bouteille;  4,49 EUR; 17,94 EUR / L; 53,82 EUR / colis;30 jour(s)
Desserts Glaces;"Tarte au chocolat. ""grand arôme"". diam. de 27 cm";BONCOLAC;115238;Surgele;Par pièce de 900 g. Colis de 6 pièces. ;pièce; 10,86 EUR; 12,07 EUR / kg; 65,16 EUR / colis;30 jour(s)
Accompagnements Assaisonnement;Tagliatelles aux oeufs;PANZANI;115642;Ambiant;Par colis de 5 kg. ;colis; 27,78 EUR;  5,56 EUR / kg;;30 jour(s)
Épicerie;Café moulu de Paris. 100 % arabica;QUOTIDIEN;117101;Ambiant;Portion de 80 g. Colis de 50 portions. ;colis; 87,95 EUR; 21,99 EUR / kg;  1,76 EUR / Portion;30 jour(s)
Épicerie;Café moulu équilibre. 50 % arabica - 50 % robusta;QUOTIDIEN;117127;Ambiant;Portion de 80 g. Colis de 50 portions. ;colis; 68,87 EUR; 17,22 EUR / kg;  1,38 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Riz basmati qualité supérieure;VIVIEN PAILLE;120581;Ambiant;Par sac de 5 kg. ;sac; 14,60 EUR;  2,92 EUR / kg;;30 jour(s)
Charcuterie Traiteur;Jambon de dinde (10 x 10);JEAN ROUTHIAU;120725;Frais;Par pièce de 2.5 kg. Colis de 3 pièces. ;pièce; 22,91 EUR;  9,17 EUR / kg; 68,74 EUR / colis;7 jour(s)
Crèmerie Œufs Fromages;Emmental coeur de meule. 29 % m.g.;LA VIE DE CHATEAU;123406;Frais;Par pièce de 2 kg. Colis de 6 pièces. ;pièce; 15,87 EUR;  7,94 EUR / kg; 95,22 EUR / colis;7 jour(s)
Charcuterie Traiteur;Plaque feuilletée pur beurre. épaisseur 2,8mm. 57 x 37 cm;BANQUET D'OR;124206;Surgele;Pièce de 714 g. Colis de 14 pièces. ;colis;109,73 EUR; 10,98 EUR / kg;  7,84 EUR / pièce;30 jour(s)
Pâtisserie Biscuiterie Confiserie;Cake rocher. aux pépites de chocolat;LE STER;127647;Ambiant;Portion de 37.5 g. Colis de 120 portions. ;colis; 41,96 EUR;  9,33 EUR / kg;  0,35 EUR / Portion;30 jour(s)
Pâtisserie Biscuiterie Confiserie;Cake rocher aux fruits;LE STER;129395;Ambiant;Portion de 37.5 g. Colis de 120 portions. ;colis; 33,08 EUR;  7,35 EUR / kg;  0,28 EUR / Portion;30 jour(s)
Pâtisserie Biscuiterie Confiserie;Madeleine de Commercy. pur beurre;ST MICHEL;130955;Ambiant;Portion de 25 g. Colis de 100 portions. ;colis; 38,39 EUR; 15,36 EUR / kg;  0,38 EUR / Portion;7 jour(s)
Pâtisserie Biscuiterie Confiserie;Madeleine de Commercy. aux oeufs frais;ST MICHEL;130963;Ambiant;Portion de 21 g. Colis de 100 portions. ;colis; 20,86 EUR;  9,94 EUR / kg;  0,21 EUR / Portion;7 jour(s)
Boissons;Eau minérale evian;EVIAN;134080;Ambiant;Bouteille de 1 litre. Colis de 12 bouteilles. ;colis; 12,95 EUR;  1,08 EUR / L;  1,08 EUR / bouteille;30 jour(s)
Charcuterie Traiteur;Fondant de poulet farci aux. cèpes;JEAN ROUTHIAU;134221;Surgele;Portion de 160 g. Colis de 30 portions. ;colis; 54,97 EUR; 11,45 EUR / kg;  1,83 EUR / Portion;30 jour(s)
Épicerie;Nescafé spécial filtre. décaféiné;NESCAFE;140475;Ambiant;Etui de 50 g. Colis de 12 etuis. Etui de 25 portions. ;colis; 80,09 EUR;133,48 EUR / kg;  6,67 EUR / etui;30 jour(s)
Épicerie;Marmelade d'orange amère;BONNE MAMAN;141549;Ambiant;Bocal de 370 g. Colis de 6 bocaux. ;colis; 12,32 EUR;  5,55 EUR / kg;  2,05 EUR / bocal;30 jour(s)
Crèmerie Œufs Fromages;Beurre demi sel micropain;PRESIDENT;142778;Frais;Portion de 10 g. Boite de 100 portions. ;boite; 12,16 EUR; 12,16 EUR / kg;  0,12 EUR / Portion;7 jour(s)
Épicerie;Confiture 3 parfums assortis. abricots, fraises, groseilles. 30 g;VALADE EN CORREZE;148973;Ambiant;Portion de 30 g. Colis de 120 portions. ;colis; 12,91 EUR;  3,59 EUR / kg;  0,11 EUR / Portion;30 jour(s)
Crèmerie Œufs Fromages;Micro-beurrier demi sel 80 %. m.g.;PRESIDENT;157610;Frais;Boite de 1 kg. Colis de 6 boites. Boite de 100 portions. ;colis; 84,85 EUR; 14,14 EUR / kg; 14,14 EUR / boite;7 jour(s)
Charcuterie Traiteur;Jambon supérieur entier dd. cuit au torchon vpf;MADRANGE;157677;Frais;Pièce de 6.7 kg. Colis de 2 pièces. ;colis;142,82 EUR; 10,66 EUR / kg; 71,41 EUR / pièce;7 jour(s)
Crèmerie Œufs Fromages;Crème fouettée uht à la. vanille, 32% m.g.;PRESIDENT PRO;158873;Frais;Par bombe de 500 ml. Colis de 12 bombes. ;bombe;  6,40 EUR; 12,79 EUR / L; 76,76 EUR / colis;7 jour(s)
Viandes Volailles Gibier;Faux filet de boeuf tataki;BEAUVALLET RESTAURATION;159183;Surgele;Sachet de 200 g. Colis de 10 sachets. ;colis; 68,49 EUR; 34,25 EUR / kg;  6,85 EUR / sachet;30 jour(s)
Épicerie;Café grains emozioni;SEGAFREDO ZANETTI;161794;Ambiant;Par paquet de 1 kg. Colis de 6 paquets. ;paquet; 28,57 EUR; 28,57 EUR / kg;171,43 EUR / colis;30 jour(s)
Crèmerie Œufs Fromages;Mascarpone 41.5 % m.g.;GALBANI PRO;162768;Frais;Par pot de 500 g. Colis de 8 pots. ;pot;  7,29 EUR; 14,59 EUR / kg; 58,35 EUR / colis;7 jour(s)
Fruits et Légumes;Chou chinois. catégorie 1;STKFL;164153;Frais;Pièce de 800 g. Colis de 8 pièces. ;colis; 17,75 EUR;  2,77 EUR / kg;  2,22 EUR / pièce;
Crèmerie Œufs Fromages;Tranche d'emmental 28 %. m.g., spécial sandwich;PRESIDENT PRO;173336;Frais;Portion de 15 g. Barquette de 32 portions. ;barquette;  9,08 EUR; 18,92 EUR / kg;  0,28 EUR / Portion;7 jour(s)
Épicerie;Confiture de fraises;BONNE MAMAN;177246;Ambiant;Par bocal de 370 g. Colis de 6 bocaux. ;bocal;  2,93 EUR;  7,92 EUR / kg; 17,59 EUR / colis;30 jour(s)
Épicerie;Confiture d'abricots;BONNE MAMAN;177253;Ambiant;Par bocal de 370 g. Colis de 6 bocaux. ;bocal;  2,50 EUR;  6,75 EUR / kg; 14,98 EUR / colis;30 jour(s)
